Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
75,tt8103070,2021-02-06,2021-02-06,,"Legacies","Legacies",https://www.imdb.com/title/tt8103070/,TV Series,7.2,45,2018,"Adventure, Drama, Fantasy, Horror, Mystery",41880,2018-10-25,,7,2021-12-08
76,tt4270492,2021-02-26,2021-02-26,,"Billions","Billions",https://www.imdb.com/title/tt4270492/,TV Series,8.3,60,2016,"Drama",117665,2016-01-01,,9,2021-02-26
77,tt9814116,2021-03-02,2021-03-02,,"Brave New World","Brave New World",https://www.imdb.com/title/tt9814116/,TV Series,7.0,,2020,"Drama, Sci-Fi, Thriller",19112,2020-07-15,,7,2021-03-02
78,tt2531336,2021-03-02,2021-03-02,,"Lupin","Lupin",https://www.imdb.com/title/tt2531336/,TV Series,7.5,45,2021,"Action, Crime, Drama, Mystery",157847,2021-01-08,,6,2021-12-08
79,tt7660850,2021-03-05,2021-03-05,,"Succession","Succession",https://www.imdb.com/title/tt7660850/,TV Series,8.8,60,2018,"Comedy, Drama",353280,2018-06-03,,10,2023-06-05
80,tt13987620,2021-03-08,2021-03-08,,"Murder Among the Mormons","Murder Among the Mormons",https://www.imdb.com/title/tt13987620/,TV Mini Series,7.0,60,2021,"Documentary, Crime, History",7858,2021-03-03,,7,2021-03-08
81,tt1796960,2021-03-13,2021-03-13,,"Homeland","Homeland",https://www.imdb.com/title/tt1796960/,TV Series,8.3,60,2011,"Crime, Drama, Mystery, Thriller",383438,2011-10-02,,7,2021-03-28
82,tt2741602,2021-03-16,2021-03-16,,"The Blacklist","The Blacklist",https://www.imdb.com/title/tt2741602/,TV Series,7.9,43,2013,"Crime, Drama, Mystery, Thriller",299927,2013-09-23,,8,2021-04-29
83,tt8179402,2021-03-30,2021-03-30,,"Fate: The Winx Saga","Fate: The Winx Saga",https://www.imdb.com/title/tt8179402/,TV Series,6.8,,2021,"Action, Adventure, Drama, Fantasy",64215,2021-01-22,,6,2021-03-30
84,tt5290382,2021-04-29,2021-04-29,,"Mindhunter","Mindhunter",https://www.imdb.com/title/tt5290382/,TV Series,8.6,60,2017,"Crime, Drama, Mystery, Thriller",394411,2017-10-13,,9,2020-12-09
85,tt8543390,2021-04-29,2021-04-29,,"Modern Love","Modern Love",https://www.imdb.com/title/tt8543390/,TV Series,7.9,30,2019,"Comedy, Drama, Romance",40090,2019-10-18,,7,2020-12-09
86,tt8708280,2021-04-29,2021-04-29,,"State of the Union","State of the Union",https://www.imdb.com/title/tt8708280/,TV Series,7.7,10,2019,"Comedy, Drama, Romance",7155,2019-05-06,,7,2021-03-20
87,tt1190634,2021-06-16,2021-06-16,,"The Boys","The Boys",https://www.imdb.com/title/tt1190634/,TV Series,8.6,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",849362,2019-07-26,,7,2021-06-16
88,tt2191671,2021-06-18,2021-06-18,,"Elementary","Elementary",https://www.imdb.com/title/tt2191671/,TV Series,7.9,60,2012,"Action, Adventure, Crime, Drama, Mystery, Thriller",126430,2012-09-27,,5,2021-12-08
89,tt3487382,2021-06-18,2021-06-18,,"Forever","Forever",https://www.imdb.com/title/tt3487382/,TV Series,8.2,43,2014,"Crime, Drama, Fantasy, Mystery, Sci-Fi",66147,2014-09-22,,7,2021-06-18
90,tt7242816,2021-07-05,2021-07-05,,"Harrow","Harrow",https://www.imdb.com/title/tt7242816/,TV Series,7.6,60,2018,"Crime, Drama, Mystery, Thriller",11759,2018-09-07,,7,2021-07-05
91,tt8905884,2021-08-01,2021-08-01,,"Adult Material","Adult Material",https://www.imdb.com/title/tt8905884/,TV Series,6.8,,2020,"Comedy, Drama, Romance",2761,2020-12-11,,5,2021-08-01
92,tt8000970,2021-08-01,2021-08-01,,"Trigonometry","Trigonometry",https://www.imdb.com/title/tt8000970/,TV Mini Series,7.3,44,2020,"Comedy, Drama, Romance",1563,2020-03-15,,6,2021-08-01
93,tt5180504,2021-08-07,2021-08-07,,"The Witcher","The Witcher",https://www.imdb.com/title/tt5180504/,TV Series,7.8,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",619341,2019-12-20,,7,2021-08-07
94,tt13839098,2021-09-10,2021-09-10,,"Threesome","Threesome",https://www.imdb.com/title/tt13839098/,TV Series,7.0,,2021,"Drama",1945,2021-08-29,,5,2021-09-10
95,tt10478054,2021-10-11,2021-10-11,,"The Lost Symbol","The Lost Symbol",https://www.imdb.com/title/tt10478054/,TV Series,6.4,45,2021,"Action, Adventure, Drama, Mystery, Thriller",15793,2021-09-16,,7,2021-11-10
96,tt2467372,2021-11-10,2021-11-10,,"Brooklyn Nine-Nine","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372/,TV Series,8.4,22,2013,"Comedy, Crime",414843,2013-09-17,,7,2021-11-10
97,tt8382834,2021-11-10,2021-11-10,,"Instinto","Instinto",https://www.imdb.com/title/tt8382834/,TV Series,6.1,47,2019,"Drama, Mystery",1290,2019-01-01,,4,2021-11-10
98,tt14164730,2021-11-13,2021-11-13,,"Dexter: New Blood","Dexter: New Blood",https://www.imdb.com/title/tt14164730/,TV Mini Series,8.0,60,2021,"Crime, Drama, Mystery",153315,2021-11-07,,7,2021-12-13
99,tt7462410,2021-11-21,2021-11-21,,"The Wheel of Time","The Wheel of Time",https://www.imdb.com/title/tt7462410/,TV Series,7.2,60,2021,"Action, Adventure, Drama, Fantasy",163743,2021-11-19,,8,2021-11-21
100,tt0804484,2021-12-06,2021-12-06,,"Foundation","Foundation",https://www.imdb.com/title/tt0804484/,TV Series,7.6,60,2021,"Drama, Sci-Fi",125583,2021-09-24,,10,2021-12-06
101,tt10160804,2021-12-08,2021-12-08,,"Hawkeye","Hawkeye",https://www.imdb.com/title/tt10160804/,TV Mini Series,7.4,60,2021,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",242260,2021-11-24,,8,2021-12-08
102,tt12682218,2021-12-31,2021-12-31,,"Scenes from a Marriage","Scenes from a Marriage",https://www.imdb.com/title/tt12682218/,TV Mini Series,8.0,60,2021,"Drama",33823,2021-09-12,,7,2021-12-31
103,tt6932244,2022-01-01,2022-01-01,,"Hanna","Hanna",https://www.imdb.com/title/tt6932244/,TV Series,7.6,60,2019,"Action, Crime, Drama, Romance",45658,2019-03-29,,7,2022-01-12
104,tt7043380,2022-02-07,2022-02-07,,"Osmosis","Osmosis",https://www.imdb.com/title/tt7043380/,TV Series,5.8,55,2019,"Romance, Sci-Fi",3635,2019-03-29,,6,2022-02-07
105,tt8398600,2022-02-19,2022-02-19,,"After Life","After Life",https://www.imdb.com/title/tt8398600/,TV Series,8.4,30,2019,"Comedy, Drama",168473,2019-03-08,,9,2022-02-13
106,tt10625812,2022-02-20,2022-02-20,,"Spy City","Spy City",https://www.imdb.com/title/tt10625812/,TV Series,6.9,48,2020,"Drama, Thriller",1706,2021-04-15,,7,2022-02-20
107,tt10234724,2022-04-06,2022-04-06,,"Moon Knight","Moon Knight",https://www.imdb.com/title/tt10234724/,TV Mini Series,7.3,50,2022,"Action, Adventure, Fantasy",309804,2022-03-30,,6,2022-04-06
108,tt5753856,2022-04-12,2022-04-12,,"Dark","Dark",https://www.imdb.com/title/tt5753856/,TV Series,8.7,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",541063,2017-12-01,,8,2022-04-12
109,tt11280740,2022-04-17,2022-04-17,,"Severance","Severance",https://www.imdb.com/title/tt11280740/,TV Series,8.6,50,2022,"Drama, Mystery, Sci-Fi, Thriller",384490,2022-02-18,,8,2022-04-17
110,tt5071412,2022-04-29,2022-04-29,,"Ozark","Ozark",https://www.imdb.com/title/tt5071412/,TV Series,8.4,60,2017,"Crime, Drama, Thriller",390537,2017-07-21,,8,2022-04-29
111,tt12748084,2022-05-15,2022-05-15,,"Anatomy of a Scandal","Anatomy of a Scandal",https://www.imdb.com/title/tt12748084/,TV Mini Series,7.0,45,2022,"Drama, Mystery, Thriller",40013,2022-04-15,,6,2022-05-15
112,tt11997646,2022-05-28,2022-05-28,,"Conversations with Friends","Conversations with Friends",https://www.imdb.com/title/tt11997646/,TV Series,6.8,30,2022,"Drama, Romance",10519,2022-05-15,,6,2022-05-28
113,tt13361448,2022-06-03,2022-06-03,,"Night Sky","Night Sky",https://www.imdb.com/title/tt13361448/,TV Series,7.3,55,2022,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",26414,2022-05-20,,7,2022-06-03
114,tt10758074,2022-06-06,2022-06-06,,"The Man Who Fell to Earth","The Man Who Fell to Earth",https://www.imdb.com/title/tt10758074/,TV Series,7.2,60,2022,"Drama, Sci-Fi",11439,2022-04-24,,6,2022-06-27
115,tt5645432,2022-06-23,2022-06-23,,"The Old Man","The Old Man",https://www.imdb.com/title/tt5645432/,TV Series,7.5,61,2022,"Action, Drama, Thriller",62722,2022-06-16,,7,2022-06-27
116,tt14190592,2022-06-23,2022-06-23,,"The Lazarus Project","The Lazarus Project",https://www.imdb.com/title/tt14190592/,TV Series,7.3,45,2022,"Action, Drama, Fantasy, Sci-Fi, Thriller",12750,2023-06-04,,7,2022-06-27
117,tt1998372,2022-06-23,2022-06-23,,"Under the Banner of Heaven","Under the Banner of Heaven",https://www.imdb.com/title/tt1998372/,TV Mini Series,7.5,67,2022,"Crime, Drama, Mystery, Thriller",42454,2022-04-28,,9,2022-06-23
118,tt11055882,2022-06-23,2022-06-23,,"Good Sam","Good Sam",https://www.imdb.com/title/tt11055882/,TV Series,6.0,,2022,"Drama",2806,2022-01-05,,5,2022-06-23
119,tt13833978,2022-06-27,2022-06-27,,"The Lincoln Lawyer","The Lincoln Lawyer",https://www.imdb.com/title/tt13833978/,TV Series,7.8,60,2022,"Crime, Drama, Mystery, Thriller",96713,2022-05-13,,8,2022-06-27
120,tt12026710,2022-07-14,2022-07-14,,"Suspicion","Suspicion",https://www.imdb.com/title/tt12026710/,TV Series,6.2,46,2022,"Crime, Drama, Mystery, Thriller",11551,2022-02-04,,7,2022-07-14
121,tt11712058,2022-07-17,2022-07-17,,"Mayor of Kingstown","Mayor of Kingstown",https://www.imdb.com/title/tt11712058/,TV Series,8.2,,2021,"Crime, Drama, Thriller",72086,2021-11-14,,8,2022-07-17
122,tt14829590,2022-07-18,2022-07-18,,"Why Didn't They Ask Evans?","Why Didn't They Ask Evans?",https://www.imdb.com/title/tt14829590/,TV Mini Series,7.0,58,2022,"Comedy, Mystery, Thriller",9663,2022-04-12,,6,2022-07-18
123,tt9310136,2022-07-31,2022-07-31,,"Interrogation","Interrogation",https://www.imdb.com/title/tt9310136/,TV Series,7.3,46,2020,"Crime, Drama, Thriller",3150,2020-02-06,,7,2022-07-31
124,tt0475784,2022-08-01,2022-08-01,,"Westworld","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",557143,2016-10-02,,8,2022-08-01
125,tt11743610,2022-08-06,2022-08-06,,"The Terminal List","The Terminal List",https://www.imdb.com/title/tt11743610/,TV Series,7.9,60,2022,"Action, Drama, Thriller",126921,2022-07-01,,7,2022-08-06
126,tt1751634,2022-08-12,2022-08-12,,"The Sandman","The Sandman",https://www.imdb.com/title/tt1751634/,TV Series,7.6,45,2022,"Drama, Fantasy, Horror, Mystery, Sci-Fi",208779,2022-08-05,,8,2022-08-12
127,tt7939218,2022-08-14,2022-08-14,,"Devils","Devils",https://www.imdb.com/title/tt7939218/,TV Series,7.2,50,2020,"Drama, Thriller",5643,2020-10-07,,9,2022-08-09
